date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:47:08	109951/109951	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:00%20GMT	https://mabanque.bnpparibas/fr/gerer/ouvrir-un-compte/facilimouv	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/ouvrir-un-compte/facilimouv.html	(from https://mabanque.bnpparibas/)
03:47:08	121031/121031	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:01%20GMT	https://mabanque.bnpparibas/fr/gerer/ouvrir-un-compte/facilidom	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/ouvrir-un-compte/facilidom.html	(from https://mabanque.bnpparibas/)
03:47:09	157016/157016	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:01%20GMT	https://mabanque.bnpparibas/fr/constituez-une-epargne-pour-votre-enfant	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/constituez-une-epargne-pour-votre-enfant.html	(from https://mabanque.bnpparibas/)
03:47:09	94019/94019	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:01%20GMT	https://mabanque.bnpparibas/fr/gerer/comptes-et-formules/formules-esprit-libre	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/comptes-et-formules/formules-esprit-libre.html	(from https://mabanque.bnpparibas/)
03:47:09	91017/91017	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:02%20GMT	https://mabanque.bnpparibas/fr/gerer/comptes-et-formules/gerer-ses-comptes	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/comptes-et-formules/gerer-ses-comptes.html	(from https://mabanque.bnpparibas/)
03:47:09	88864/88864	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:02%20GMT	https://mabanque.bnpparibas/fr/gerer/comptes-et-formules/releves-comptes	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/comptes-et-formules/releves-comptes.html	(from https://mabanque.bnpparibas/)
03:47:10	91174/91174	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:02%20GMT	https://mabanque.bnpparibas/fr/gerer/comptes-et-formules/compte-individuel	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/comptes-et-formules/compte-individuel.html	(from https://mabanque.bnpparibas/)
03:47:10	95465/95465	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:03%20GMT	https://mabanque.bnpparibas/fr/gerer/comptes-et-formules/compte-collectif	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/comptes-et-formules/compte-collectif.html	(from https://mabanque.bnpparibas/)
03:47:10	113057/113057	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:03%20GMT	https://mabanque.bnpparibas/fr/offre-ados	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/offre-ados.html	(from https://mabanque.bnpparibas/)
03:47:11	97808/97808	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:03%20GMT	https://mabanque.bnpparibas/fr/gerer/comptes-et-formules/forfait-de-compte	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/comptes-et-formules/forfait-de-compte.html	(from https://mabanque.bnpparibas/)
03:47:11	102030/102030	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:03%20GMT	https://mabanque.bnpparibas/fr/gerer/comptes-et-formules/droit-au-compte	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/comptes-et-formules/droit-au-compte.html	(from https://mabanque.bnpparibas/)
03:47:11	103176/103176	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:04%20GMT	https://mabanque.bnpparibas/fr/gerer/cartes-moyens-paiement/cartes-bancaires	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/cartes-moyens-paiement/cartes-bancaires.html	(from https://mabanque.bnpparibas/)
03:47:11	108780/108780	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20May%202023%2000:54:04%20GMT	https://mabanque.bnpparibas/fr/gerer/cartes-moyens-paiement/personnaliser-sa-carte	C:/My%20Web%20Sites/bnpparis/mabanque.bnpparibas/fr/gerer/cartes-moyens-paiement/personnaliser-sa-carte.html	(from https://mabanque.bnpparibas/)
